nama;rumuskimia;kilap;warna;cerat;transparansi;mohs;belahan;pecahan;bj;magnet;hcl;desc;image
Forsterite;Mg₂SiO₄;Kaca;Hijau | Kuning | Putih / Tidak berwarna;Putih / Tidak berwarna;Transparan | Translusen;7;Sempurna 2 arah;Konkoidal | tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;Forsterite umumnya dijumpai pada batuan beku ultramafik dan mafik seperti peridotit, dunit, dan basalt, serta pada batuan metamorf kaya magnesium (marmer dolomitik dan skarn), sering berasosiasi dengan enstatite, diopside, spinel, chromite, serpentine, pyroxene, dan magnetite.;images/Forsterite 1.png|images/Forsterite 2.png|images/Forsterite 3.png
Fayalite;Fe₂SiO₄ ;Kaca;Cokelat | Hijau ;Putih / Tidak berwarna | Abu-abu;Translusen;6-6,4;Tidak sempurna;Konkoidal;Berat (4-6);Tidak magnetik;Tidak bereaksi;"Umum dijumpai pada batuan beku felsik-alkalin yang kaya besi seperti granit alkali, riolit, dan syenit, serta pada batuan beku terdiferensiasi lanjut dan meteorit besi; berasosiasi dengan hedenbergite, magnetite, ilmenite, kuarsa, dan feldspar alkali.";images/Fayalite 1.png|images/Fayalite 2.png|images/Fayalite 3.png
Aegirine;NaFeSi₂O₆;Kaca;Cokelat | Hijau ;Kuning;Translusen;6-6,5;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;Khas dijumpai pada batuan beku alkalin seperti syenit nefelin, granit alkali, dan batuan vulkanik alkalin (fonolit), sering berasosiasi dengan nepheline, sanidine, riebeckite, aegirine-augite, dan zircon.;images/Aegirine 1.png|images/Aegirine 2.png|images/Aegirine 3.png
Augite; Ca(Mg,Fe,Al)(Si,Al)₂O₆;Kaca;Hitam | Hijau | Hijau | Cokelat;Putih / Tidak berwarna | Abu-abu;Translusen | Opak;5,5-6;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;Umum pada batuan beku mafik (basalt, gabbro, andesit) dan metamorf tingkat tinggi, berasosiasi dengan plagioklas, olivin, hornblende, magnetite.;images/Augite 1.png|images/Augite 2.png|images/Augite 3.png
Hedenbergite;CaFeSi₂O₆;Kaca;Hijau | Hitam ;Putih / Tidak berwarna | Abu-abu;Translusen;5,5-6,5;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;Khas pada skarn kaya besi hasil metamorfisme kontak, berasosiasi dengan garnet andradite, magnetite, epidote, kalsit.;images/Hedenbergite 1.png|images/Hedenbergite 2.png|images/Hedenbergite 3.png
Diopside;CaMgSi₂O₆;Kaca;Putih / Tidak berwarna | Hijau;Putih / Tidak berwarna;Transparan | Translusen;5,5-6,6;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Dijumpai pada marmer dan skarn hasil metamorfisme kontak batuan karbonat, serta batuan ultramafik; berasosiasi dengan forsterite, tremolite, kalsit, dolomit, garnet grossular.";images/Diopside 1.png|images/Diopside 2.png|images/Diopside 3.png
Enstatite;MgSiO₃;Kaca | Mutiara;Putih / Tidak berwarna | Abu-abu | Hijau | Kuning  ;Putih / Tidak berwarna;Translusen;5-6;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;Umum pada batuan ultramafik (peridotit, piroksenit) dan meteorit, berasosiasi dengan olivin, diopside, kromit, spinel.;images/Enstatite 1.png|images/Enstatite 2.png|images/Enstatite 3.png
Hypersthene;(Mg,Fe)SiO₃;Kaca | Submetalik;Cokelat | Hijau | Cokelat | Hitam;Putih / Tidak berwarna | Abu-abu;Translusen | Opak;5-6;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;Dijumpai pada batuan beku mafik-ultramafik (norit, gabbro, andesit-basalt), berasosiasi dengan plagioklas, augite, olivin, magnetite.;images/Hypersthene 1.png|images/Hypersthene 2.png|images/Hypersthene 3.png
Hornblende;Ca₂(Mg,Fe,Al)₅(Al,Si)₈O₂₂(OH)₂;Kaca;Hijau | Hitam ;Putih / Tidak berwarna | Abu-abu;Translusen | Opak;5-6;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;Umum pada batuan beku intermediet-mafik (diorit, andesit) dan metamorf (amfibolit, sekis), berasosiasi dengan plagioklas, biotite, kuarsa, magnetite.;images/Hornblende 1.png|images/Hornblende 2.png|images/Hornblende 3.png
Actinolite;Ca₂(Mg,Fe)₅Si₈O₂₂(OH)₂;Kaca | Sutera;Hijau muda | Hijau tua;Putih / Tidak berwarna;Translusen;5-6;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;Terbentuk pada metamorfisme tingkat rendah-menengah (sekis hijau) dari alterasi piroksen, berasosiasi dengan klorit, epidote, albite, talk.;images/Actinolite 1.png|images/Actinolite 2.png|images/Actinolite 3.png
Glaucophane;Na₂(Mg,Fe)₃Al₂Si₈O₂₂(OH)₂ ;Kaca | Sutera;Biru | Biru | Ungu;Putih / Tidak berwarna | Abu-abu;Translusen;6-6,5;Sempurna 2 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;Khas pada sekis biru (blueschist) di zona subduksi tekanan tinggi-suhu rendah, berasosiasi dengan lawsonite, jadeite, epidote, garnet almandine.;images/Glaucophane 1.png|images/Glaucophane 2.png|images/Glaucophane 3.png
Anorthite;CaAl₂Si₂O₈ ;Kaca;Putih / Tidak berwarna | Putih / Tidak berwarna | Abu-abu ;Putih / Tidak berwarna;Transparan | Translusen;6-6,6;Sempurna 2 arah;Konkoidal;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Umum pada gabbro, anortosit, dan basalt; berasosiasi dengan piroksen, olivin, magnetite.";images/Anorthite 1.png|images/Anorthite 2.png|images/Anorthite 3.png
Andesine;(Ca,Na)(Al,Si)₄O₈;Kaca;Putih | Abu-abu | Putih / Tidak berwarna | Kuning;Putih / Tidak berwarna;Translusen;6-6,5;Sempurna 2 arah;Tidak rata;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Umum pada batuan beku intermediet (andesit, diorit); berasosiasi dengan hornblende, biotite, kuarsa.";images/Andesine 1.png|images/Andesine 2.png|images/Andesine 3.png
Albite;NaAlSi₃O₈;Kaca;Putih / Tidak berwarna;Putih / Tidak berwarna;Transparan | Translusen;6-6,5;Sempurna 2 arah;Konkoidal;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Dijumpai pada granit/pegmatit dan hasil albitisasi metamorf; berasosiasi dengan kuarsa, muskovit, mikroklin.";images/Albite 1.png|images/Albite 2.png|images/Albite 3.png
Orthoclase;KAlSi₃O₈;Kaca;Putih / Tidak berwarna | Merah muda | Krem;Putih / Tidak berwarna;Translusen;6-6,5;Sempurna 2 arah;Konkoidal;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Umum pada granit dan syenit; berasosiasi dengan kuarsa, muskovit, biotite, plagioklas.";images/Orthoclase 1.png|images/Orthoclase 2.png|images/Orthoclase 3.png
Microcline;KAlSi₃O₈;Kaca;Putih / Tidak berwarna | Krem | Hijau;Putih / Tidak berwarna;Translusen;6-6,5;Sempurna 2 arah;Konkoidal;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Terbentuk pada granit/pegmatit yang mendingin lambat; berasosiasi dengan kuarsa, albite, muskovit, biotite.";images/Microcline 1.png|images/Microcline 2.png|images/Microcline 3.png
Sanidine;KAlSi₃O₈;Kaca;Putih / Tidak berwarna | Abu-abu;Putih / Tidak berwarna;Transparan | Translusen;6;Sempurna 2 arah;Konkoidal;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Khas batuan vulkanik felsik yang cepat mendingin (trakit, riolit); berasosiasi dengan kuarsa, biotite, hornblende.";images/Sanidine 1.png|images/Sanidine 2.png|images/Sanidine 3.png
Biotite;K(Mg,Fe)₃(AlSi₃O₁₀)(OH)₂;Kaca | Mutiara;Cokelat | Hitam;Putih / Tidak berwarna;Translusen;2,5-3;Sempurna 1 arah;Tidak rata;Sedang (3-4);Tidak magnetik;Tidak bereaksi;"Umum pada granit, pegmatit, sekis, gneiss; berasosiasi dengan muskovit, kuarsa, feldspar, garnet.";images/Biotite 1.png|images/Biotite 2.png|images/Biotite 3.png
Muscovite;KAl₂(AlSi₃O₁₀)(OH)₂;Kaca | Mutiara | Sutera;Putih / Tidak berwarna;Putih / Tidak berwarna;Transparan | Translusen;2-2,5;Sempurna 1 arah;Tidak rata;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Dijumpai pada granit, pegmatit, sekis mika, filit; berasosiasi dengan kuarsa, biotite, feldspar, garnet.";images/Muscovite 1.png|images/Muscovite 2.png|images/Muscovite 3.png
Phengite;K(Al,Mg,Fe)₂(AlSi₃O₁₀)(OH)₂;Kaca | Mutiara;Putih / Tidak berwarna;Putih / Tidak berwarna;Translusen;2-3;Sempurna 1 arah;Tidak rata;Ringan (<3);Tidak magnetik;Tidak bereaksi;"Khas batuan metamorf tekanan tinggi (sekis biru, eklogit); berasosiasi dengan glaucophane, garnet almandine, jadeite";images/Phengite 1.png|images/Phengite 2.png|images/Phengite 3.png
